Memory Type;
FPM;
EDO;
SDR;
DDR;
DDR2;
DDR3;
DDR4;
DDR5;
GDDR3;
GDDR5;
GDDR6;
GDDR6X;
LPDDR;
LPDDR2;
LPDDR3;
LPDDR4;
LPDDR4X;
LPDDR5;
HBM;
HBM2;
HBM2E;
HBM3;
RDRAM;
XDR;
MRAM;
FRAM;
ReRAM;
NVDIMM;
